2018/05/22 09:51.42:    1529540502.418681:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:51.43:    1529540503.344208:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/05/22 09:51.44:    1529540504.375465:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:51.45:    1529540505.491172:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:51.46:    1529540506.519343:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:51.47:    1529540507.581713:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:51.48:    1529540508.586125:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.49:    1529540509.604601:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.50:    1529540510.610330:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.51:    1529540511.619578:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/05/22 09:51.52:    1529540512.626379:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
2018/05/22 09:51.53:    1529540513.732385:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.54:    1529540514.735724:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.55:    1529540515.941133:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.56:    1529540516.945691:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.58:    1529540518.050994:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:51.59:    1529540519.056691:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.00:    1529540520.061650:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.01:    1529540521.467833:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.02:    1529540522.074826:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.03:    1529540523.079108:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.04:    1529540524.107131:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:52.04:    1529540524.625358:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.05:    1529540525.143397:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/05/22 09:52.05:    1529540525.668390:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.06:    1529540526.185296:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.06:    1529540526.697898:6ABE0326E806*                 :CSMA Data frame: frame len=217, FEC OK
2018/05/22 09:52.07:    1529540527.211989:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:52.07:    1529540527.719854:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:52.08:    1529540528.231263:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/05/22 09:52.09:    1529540529.343250:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/05/22 09:52.10:    1529540530.351816:6ABE0326E806*                 :CSMA Data frame: frame len=231, FEC OK
2018/05/22 09:52.11:    1529540531.364107:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 09:52.12:    1529540532.375025:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:52.13:    1529540533.385514:6ABE0326E806*                 :CSMA Data frame: frame len=217, FEC OK
2018/05/22 09:52.14:    1529540534.395434:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.15:    1529540535.402768:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.16:    1529540536.414683:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.17:    1529540537.428699:6ABE0326E806*                 :CSMA Data frame: frame len=211, FEC OK
2018/05/22 09:52.18:    1529540538.435988:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.19:    1529540539.452644:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/05/22 09:52.20:    1529540540.466947:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:52.21:    1529540541.575990:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:52.22:    1529540542.591864:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:52.23:    1529540543.599902:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:52.24:    1529540544.504065:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.25:    1529540545.519141:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/05/22 09:52.26:    1529540546.623233:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.27:    1529540547.628451:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.28:    1529540548.632761:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.29:    1529540549.638660:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.30:    1529540550.643085:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
2018/05/22 09:52.31:    1529540551.647458:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/05/22 09:52.32:    1529540552.653644:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:52.33:    1529540553.758774:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
2018/05/22 09:52.34:    1529540554.701033:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
