2018/04/31 19:44.03:    1527675243.642016:6ABE0326E806*                 :CSMA Data frame: frame len=221, FEC OK
2018/04/31 19:44.03:    1527675243.644483:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/04/31 19:44.03:    1527675243.648563:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:44.03:    1527675243.659888:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/04/31 19:44.03:    1527675243.664276:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/04/31 19:44.03:    1527675243.669127:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:44.03:    1527675243.679986:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:44.03:    1527675243.691685:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/04/31 19:44.03:    1527675243.697872:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/04/31 19:44.03:    1527675243.705264:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:44.03:    1527675243.709203:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/04/31 19:44.03:    1527675243.714520:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/04/31 19:44.03:    1527675243.724746:6ABE0326E806*                 :CSMA Data frame: frame len=234, FEC OK
2018/04/31 19:44.03:    1527675243.731152:6ABE0326E806*                 :CSMA Data frame: frame len=232, FEC OK
2018/04/31 19:44.03:    1527675243.733729:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:44.03:    1527675243.746564:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:44.03:    1527675243.754925:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:44.28:    1527675268.340797:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
